id,marca
1,DIAGEO AMERICAS
2,HEAVEN HILL BRANDS
3,"SAZERAC CO., INC."
4,SAGE BEVERAGES
5,MHW LTD
6,"WHITE ROCK DISTILLERIES, INC."
7,PERNOD RICARD USA/AUSTIN NICHOLS
8,EDRINGTON GROUP USA LLC
9,LUXCO-ST LOUIS
10,"WILLIAM GRANT AND SONS, INC."
11,KWIK IMPORTS
12,"CONSTELLATION WINE COMPANY, INC."
13,"BACARDI U.S.A., INC."
14,"MOET HENNESSY USA, INC."
15,LEVECKE CORP
16,"YAHARA BAY DISTILLERS, INC"
17,THE PATRON SPIRITS COMPANY
18,E AND J GALLO WINERY
19,SAZERAC NORTH AMERICA
20,B. UNITED INTERNATIONAL
21,PROXIMO
22,ALLIED DOMECQ SPIRITS AND WINE USA
23,JIM BEAM BRANDS
24,SHAW ROSS INTERNATIONAL IMPORTERS LL
25,CAMPARI(SKYY)
26,SEAGRAM AMERICAS
27,UNITED DISTILLERS USA
28,BROWN-FORMAN CORPORATION
29,DEHNER DISTILLERY
30,FRANK-LIN DISTILLERS PRODUCTS LTD.
31,REMY COINTREAU USA         .
32,"WILDMAN AND SONS, F."
33,SIDNEY FRANK IMPORTING CO.
34,BETTER BEVERAGE IMPORTERS
35,"BLAVOD EXTREME SPIRITS USA, INC."
36,MCCORMICK DISTILLING COMPANY
37,PRESTIGE WINE AND SPIRITS GROUP
38,LAIRD AND COMPANY
39,PHILLIPS BEVERAGE COMPANY
40,CASTLE BRANDS
41,3 BADGE MIXOLOGY
42,DISARONNO INTERNATIONAL LLC
43,LUXCO-CLEVELAND
44,"HOOD RIVER DISTILLERS, INC."
45,NOLET SPIRITS USA
46,CARILLON IMPORTERS LTD.
47,GEMINI SPIRITS
48,"PALM BAY IMPORTS, INC."
49,"A HARDY / U.S.A., LTD."
50,AIKO IMPORTERS INC
51,THE WINE GROUP
52,WILSON DANIELS LTD.
53,"CRUZAN INTERNATIONAL, INC."
54,SWISS CELLARS
55,WESTERN SPIRITS BEVERAGE CO. LLC
56,"CEDAR RIDGE VINEYARDS,LLC"
57,PROST BEVERAGE COMPANY
58,SERRALLES USA
59,"MONTANA DISTILLERS, INC."
60,PARK STREET IMPORTS-DUKE SPIRITS
61,FOUR ROSES DISTILLERY
62,HIGH WEST DISTILLERY
63,ANCHOR DISTILLING (PREISS IMPORTS)
64,MILLENNIUM IMPORT COMPANY
65,PRAIRIE CREEK BEVERAGES LLC
66,AVENIU BRANDS
67,JESSE JAMES DISTILLING COMPANY
68,"CHATHAM IMPORTS,INC"
69,"IMPERIAL BRANDS, INC."
70,ALIVE SPIRITS
71,A. SMITH BOWMAN DISTILLERY INC.
72,DOMECQ IMPORTERS INC.
73,"CHARLES JACQUIN ET. CIE., INC."
74,KOBRAND CORPORATION
75,BRECKENRIDGE DISTILLERY
76,DUGGAN'S DISTILLERS PRODUCTS CORP
77,"MANGO BOTTLING, INC."
78,ANHEUSER-BUSCH/LONGTAIL LIBATIONS
79,BAD BEAR ENTERPRISES
80,MISSISSIPPI RIVER DISTILLING CO.
81,COOPERSPIRITSINTERNATIONAL
82,THREE RANGERS
83,ARTISAN GRAIN DISTILLERY
84,IOWA DISTILLING COMPANY
85,BROADBENT DISTILLERY
86,HONEY CREEK DISTILLERY
87,BLAUM BROS. DISTILLING CO.
88,"OLE SMOKY DISTILLERY, LLC"
89,WINDY HILL SPIRITS
90,DRY FLY DISTILLING
91,HOMESTEAD AMERICAN WHISKEY
92,ROGUE ALES AND SPIRITS
93,PANTHER DISTILLERY
94,PATRIARCH DISTILLERS
95,"HIGH WEST DISTILLERY, LLC"
96,"3-OAKS DISTILLERY, LLC"
97,BISHOP WINES & SPIRITS
98,"W. J. DEUTSCH AND SONS, LTD."
99,SHAND IMPORT LLC
100,"PADDINGTON CORPORATION, THE"
101,CLASSIC WINE IMPORTS
102,"PATERNO IMPORTS, LTD."
103,"NWS, INC DBA CONSOLIDATED DIST"
104,"TY KU, LLC"
105,"209, LTD"
106,PLANET 10 SPIRITS
107,"FOLEY FAMILY WINES, INC."
108,STOLI GROUP
109,QUADRO GROUP LLC
110,FIRESTARTER SPIRITS INC.
111,"RUSSIAN STANDARD VODKA, USA"
112,"KLIN SPIRITS, LLC"
113,PIEDMONT DISTILLERS
114,BLACK ROCK SPIRITS
115,DAKOTA SPIRITS DISTILLERY
116,BLUE ANGEL SPIRITS LLC
117,DISTILLING HEAD
118,COOPER'S CHASE DISTILLERY
119,ROYAL WORLD SPIRITS
120,KOENIG DISTILLERY
121,TRINCHERO FAMILY ESTATES
122,HIGH PLAINS INC
123,MARSALLE COMPANY
124,BETTER BRANDS BEV CO
125,SQUARE ONE ORGANIC SPIRITS
126,SWELL LIQUOR LLC
127,WORLD WIDE WINE & SPIRIT IMPORTERS
128,SOVEREIGN BRANDS
129,FIFTH GENERATION INC.
130,MINHAS MICRO DISTILLERY
131,"KOAN, INC."
132,SPIRITS OF THE USA
133,STERN BEVERAGE
134,"M.S. WALKER, INC."
135,NICHE IMPORT CO.
136,"CARRIAGE HOUSE IMPORTS, LTD."
137,LAPHAM IMPORT CO
138,DANA WINE & SPIRITS IMPORTERS
139,"3-D SPIRITS, INC."
140,MODERN SPIRITS
141,"WERNER DISTILLING, LLC"
142,"INTERNATIONAL BEVERAGE CO., INC."
143,PARADISE DISTILLING COMPANY
144,"WINEBOW, INC."
145,NICHOLAS ENTERPRISES
146,"AUSTIN, NICHOLS & CO., INC."
147,ANCHOR DISTILLING CO
148,GRAND PRIX BEVERAGE LLC
149,NATIONAL BROKERS
150,"GAETANO SPECIALTIES, LTD."
151,INTERNATIONAL BEVERAGE HOLDINGS USA
152,URBAN BRANDS AND SPIRITS
153,AMERICAN VINTAGE BEVERAGE
154,"ROYAL PRODUCTS INT'L, INC."
155,"STELLAR IMPORTING COMPANY, LLC"
156,PARK STREET IMPORTS-BERENTZEN
157,"WHYTE AND MACHAY(AMERICAS) LIMITED,L"
158,SPECIALTY SPIRITS IMPORTS
159,"JINRO AMERICA, INC"
160,MCKENZIE RIVER CORPORATION
161,SURVILLE ENTERPRISES CORP
162,"ASDSPIRITS, LLC"
163,HARBREW IMPORTS
164,PARK STREET IMPORTS-VOLI
165,TYFIELD IMP. D/B/A MASTERPIECES
166,CAPSTONE INTERNATIONAL INC
167,"BIAGIO CRU AND ESTATE WINES, LLC"
168,BACMAR INTERNATIONAL
169,VBJ BEVERAGES LLC
170,PAULANER USA
171,"MADIKWE USA, INC."
172,"SPEAKEASY SPIRITS, LLC"
173,GUNSANDMORE.INFO
174,BANFI PRODUCTS CORP.
175,DRINKS AMERICAS
176,SANTA FE TEQUILA COMPANY
177,"ST. GEORGE SPIRIT, INC"
178,WINE INTELLIGENCE
179,LIQUOR GROUP WHOLESALE
180,"NESTOR IMPORTS, INC."
181,STEPHEN AUGUSTUS IMPORTS
182,PARK STREET IMPORTS-HOUSE SPIRITS
183,DOMAINE SELECT WINE ESTATES
184,CLEAR CREEK DISTILLERY
185,CVI BRANDS
186,KOLOA RUM COMPANY
187,"SPIRIT IMPORTS, INC."
188,BENDISTILLERY
189,THE COUNTRY VINTNER
190,PARK STREET IMPORTS-SWEET REVENGE
191,DOMAINE CHARBAY
192,ITSKO IMPORTS INC
193,NORTH TEXAS DISTILLERS
194,MARSALLE COMPANY/STOLLER WAREHOUSE
195,WILLETT DISTILLERY
196,KINDRED SPIRITS OF NORTH AMERICA
197,TEQUILAS PREMIUM INC.
198,HILLROCK ESTATE DISTILLERY LLC
199,WIN IT TOO INC/GLOBAL BEER NETWORK
200,"DREYFUS, ASHBY CO."
201,"DISTILLERIE STOCK U.S.A., LTD."
202,STE. MICHELLE WINE ESTATES
203,"BEHN OF NORTH AMERICA, LLC"
204,SIERRA NEVADA BREWING COMPANY
205,"D & V INTERNATIONAL, INC."
206,VITAL BEVERAGES
207,PACIFIC EDGE WINE & SPIRITS
208,TOTAL BEVERAGE SOLUTIONS
209,PARK STREET IMPORTS- CABALLEROS
210,SANS WINE AND SPIRITS CO
211,H A P LLC
212,BOSTON BEER COMPANY
213,888 IMPORTS
214,VAN GOGH IMPORTS
215,GOOSE ISLAND BEER CO
216,HEARTLAND WINE AND SPIRITS GROUP
217,SUMMIT BREWING COMPANY
218,PARTIDA TEQUILA
219,ADMIRAL IMPORTS
220,DIAGEO CHATEAU & ESTATES WINES CO.
221,WOODY CREEK DISTILLERS
222,DUVEL MOORTGAT USA
223,ARTISANAL IMPORTS
224,BOZ SPIRITS
225,IMPEX BEVERAGES INC
226,"NORTH SHORE DISTILLERY, LLC."
227,VANBERG & DEWULF
228,GREAT LAKES LIQUOR COMPANY
229,FIVE STAR WINE & SPIRITS
230,"BELUKUS MARKETING, INC."
231,"FRANK PESCE INT'L GROUP LLC, THE"
232,PHOENIX IMPORTS LTD.
233,MERCHANT DU VIN CORPORATION
234,"EVATON, INC."
235,SEASHORE MARKETING GROUP
236,"SPATEN NORTH AMERICA, INC."
237,BMC IMPORTS
238,"HIGH ENERGY HOLDINGS, LLC"
239,"DORADO, PIZZORNI & SONS, LLC"
240,BLACK DIAMOND SPIRITS LLC
241,AIG WINE & SPIRITS DBA MEZZALUNA SP
242,"DREYFUS ASHBY, INC."
243,WINERY EXCHANGE
244,SHELTON BROTHERS
245,"ADAMBA IMPORTS INT'L, INC."
246,"THE OLD MILL BRAND WINES & SPIRITS,"
247,TANTEO TEQUILA
248,"WETTEN IMPORTERS, INC."
249,FLYING DOG BREWERY
250,BARDENHEIER WINE CELLARS
251,POST FAMILIE WINERY
252,NORTH COAST BREWING CO
253,STANLEY STAWSKI DISTRIBUTING CO.
254,"UNIBREW USA, INC."
255,BURRELL BEVERAGE
256,"BELL'S BREWERY, INC."
257,"MANNEKEN-BRUSSEL IMPORTS, INC."
258,DOYNA LTD
259,LEATHERBEE DISTILLERS
260,BOULEVARD BREWING COMPANY
261,"TI BEVERAGE GROUP, LTD"
262,HAAS BROTHERS
263,FRANCOLIUSA
264,FIRE TAIL BRANDS LLC
265,ROBERT KACHER SELECTIONS
266,"BELMONT FARMS OF VA., INC"
267,TEMPERANCE DISTILING COMPANY
268,AHA TORO SPIRITS INC
269,USB CORPORATION
270,PARK STREET IMPORTS-VEEV
271,JALIXCO TRADING CO. LLC
272,"DEVOTION SPIRITS, INC."
273,INTERSECT BEVERAGE LLC
274,"CRACOVIA, INC"
275,MAJESTIC DISTILLING CO
276,BARREL HOUSE DISTILLING CO.
277,REFERENT SPIRITS
278,FSJ IMPORTS
279,PARK STREET IMPORTS-FEW SPIRITS
280,"BERNIKO, LLC."
281,PARK STREET IMPORTS-PHILADELPHIA DIS
282,AMERICAN SPIRITS EXCHANGE
283,RANSOM SPIRITS LLC
284,"PHENIX BRANDS, LLC"
285,"SAN LUIS SPIRITS, INC."
286,PARK STREET IMPORTS-HIGH STICK VODKA
287,"ICONIC BRANDS, INC."
288,BOM DIA IMPORTS DBA NOVO FOGO
289,LOUISIANA SPIRITS LLC
290,CARIBBEAN SPIRITS INC
291,PARK STREET IMPORTS-TANTEO
292,VODQUILA LLC
293,PHILLY'S PREMIUM BEVERAGES LLC
294,KOVAL DISTILLERY
295,SPIRIT OF HARTFORD
296,LLOYD CARUSO LLC
297,ALIEN TEQUILA SPIRITS COMPANY
298,BROADSLAB DISTILLERY
299,JOURNEYMAN DISTILLERY LLC
300,45TH PARALLEL SPIRITS
301,RUMCOQUI AND CO
302,BUZZBOX BEVERAGES
303,BREUCKELEN DISTILLING
304,IOWA ABD
305,PARK STREET-G'DAY
306,ROYAL WINE CORPORATION
307,PURPLE VALLEY IMPORTS
308,OTHER
