id,nombre,volumen,precio,marca,categoria
356475,CROWN ROYAL HONEY,750,22.49,DIAGEO AMERICAS,CANADIAN WHISKIES
15335,CROWN ROYAL REGAL APPLE MINI,300,11.03,DIAGEO AMERICAS,CANADIAN WHISKIES
81345,CROWN ROYAL REGAL APPLE,200,7.08,DIAGEO AMERICAS,CANADIAN WHISKIES
150318,CROWN ROYAL XR CANADIAN WHISKEY,750,98.99,DIAGEO AMERICAS,CANADIAN WHISKIES
310791,CROWN ROYAL CANADIAN WHISKY MINI,300,11.03,DIAGEO AMERICAS,CANADIAN WHISKIES
54058,CROWN ROYAL CANADIAN WHISKY,200,7.25,DIAGEO AMERICAS,CANADIAN WHISKIES
284871,CROWN ROYAL CANADIAN WHISKY,375,11.63,DIAGEO AMERICAS,CANADIAN WHISKIES
150100,CROWN ROYAL CANADIAN WHISKY,1000,28.13,DIAGEO AMERICAS,CANADIAN WHISKIES
243566,CROWN ROYAL CANADIAN WHISKY,1750,47.99,DIAGEO AMERICAS,CANADIAN WHISKIES
245400,CROWN ROYAL,200,7.08,DIAGEO AMERICAS,CANADIAN WHISKIES
336832,SEAGRAMS V.O. BL CANADIAN WHISKY,750,11.25,DIAGEO AMERICAS,CANADIAN WHISKIES
202052,CAPTAIN MORGAN MANGO WITH PITCHER,750,10.64,DIAGEO AMERICAS,DECANTERS & SPECIALTY PACKAGES
7943,CAPTAIN MORGAN PINEAPPLE WITH PITCHER,750,10.64,DIAGEO AMERICAS,DECANTERS & SPECIALTY PACKAGES
185598,CLUB COCKTAILS BRASS MONKEY,750,5.21,DIAGEO AMERICAS,AMERICAN COCKTAILS
338308,CLUB COCKTAILS GIN MARTINI,750,5.19,DIAGEO AMERICAS,AMERICAN COCKTAILS
318333,CLUB COCKTAILS MANHATTAN,750,5.19,DIAGEO AMERICAS,AMERICAN COCKTAILS
68242,CLUB MUDSLIDE,1750,9.6,DIAGEO AMERICAS,AMERICAN COCKTAILS
185896,CLUB LIME MARGARITA,1750,12.75,DIAGEO AMERICAS,AMERICAN COCKTAILS
277119,CLUB ORANGE CRAZE,1750,8.19,DIAGEO AMERICAS,AMERICAN COCKTAILS
251130,CLUB PEACH DAIQUIRI POUCH,200,1.5,DIAGEO AMERICAS,AMERICAN COCKTAILS
63769,CLUB STRAWBERRY MARGARITA POUCH,200,1.5,DIAGEO AMERICAS,AMERICAN COCKTAILS
135703,CLUB STRAWBERRY MARGARITA,1750,12.75,DIAGEO AMERICAS,AMERICAN COCKTAILS
103311,CLUB COCKTAILS SCREWDRIVER,750,5.19,DIAGEO AMERICAS,AMERICAN COCKTAILS
428257,CAPTAIN MORGAN LONG ISLAND ICED TEA,1750,16.5,DIAGEO AMERICAS,AMERICAN COCKTAILS
256146,CAPTAIN MORGAN PARROT BAY CITRUS MOJITO,1750,15.75,DIAGEO AMERICAS,AMERICAN COCKTAILS
167827,CROWN ROYAL REGAL APPLE,375,11.63,DIAGEO AMERICAS,CANADIAN WHISKIES
387504,CROWN ROYAL REGAL APPLE,1000,27.75,DIAGEO AMERICAS,CANADIAN WHISKIES
201598,CROWN ROYAL 75TH ANNIVERSARY,750,52.49,DIAGEO AMERICAS,CANADIAN WHISKIES
367664,CROWN ROYAL MAPLE MINI,300,11.03,DIAGEO AMERICAS,CANADIAN WHISKIES
10034,CROWN ROYAL MAPLE,750,22.5,DIAGEO AMERICAS,CANADIAN WHISKIES
159822,CROWN ROYAL MAPLE,1000,27.75,DIAGEO AMERICAS,CANADIAN WHISKIES
50934,CROWN ROYAL XO,750,37.49,DIAGEO AMERICAS,CANADIAN WHISKIES
380493,CROWN ROYAL NORTHERN HARVEST RYE,750,25.5,DIAGEO AMERICAS,CANADIAN WHISKIES
89977,CROWN ROYAL BLACK MINI,300,10.26,DIAGEO AMERICAS,CANADIAN WHISKIES
383396,CROWN ROYAL BLACK,750,25.5,DIAGEO AMERICAS,CANADIAN WHISKIES
55925,CROWN ROYAL BLACK,1750,50.69,DIAGEO AMERICAS,CANADIAN WHISKIES
308648,CROWN ROYAL CORNERSTONE,750,44.99,DIAGEO AMERICAS,CANADIAN WHISKIES
380775,CABIN FEVER MAPLE FLAVORED WHISKEY,750,15.0,DIAGEO AMERICAS,BLENDED WHISKIES
181045,CROWN ROYAL BLACK,375,12.38,DIAGEO AMERICAS,CANADIAN WHISKIES
430292,TANQUERAY OLD TOM,1000,26.25,DIAGEO AMERICAS,DECANTERS & SPECIALTY PACKAGES
299044,BAILEY'S CANDY CANE,200,6.21,DIAGEO AMERICAS,DECANTERS & SPECIALTY PACKAGES
138356,SMIRNOFF COCONUT MINI,500,8.58,DIAGEO AMERICAS,VODKA FLAVORED
183087,SMIRNOFF VODKA 100 PRF,1750,24.0,DIAGEO AMERICAS,100 PROOF VODKA
461765,JEREMIAH WEED SWEET TEA VODKA,750,14.99,DIAGEO AMERICAS,VODKA FLAVORED
221963,JEREMIAH WEED SWEET TEA,1000,15.75,DIAGEO AMERICAS,VODKA FLAVORED
4887,JEREMIAH WEED SWEET TEA VODKA,1750,22.46,DIAGEO AMERICAS,VODKA FLAVORED
336393,JEREMIAH WEED SWEET TEA MINI,500,6.42,DIAGEO AMERICAS,VODKA FLAVORED
321712,GORDON'S ORANGE FLAVORED VODKA,750,7.89,DIAGEO AMERICAS,VODKA FLAVORED
177773,CIROC LUXURY VODKA,375,13.88,DIAGEO AMERICAS,IMPORTED VODKA
277201,CIROC SUPER PREMIUM VODKA,750,27.75,DIAGEO AMERICAS,IMPORTED VODKA
281211,CIROC SUPER PREMIUM VODKA,1000,33.75,DIAGEO AMERICAS,IMPORTED VODKA
205566,HAIG CLUB,750,37.49,DIAGEO AMERICAS,SCOTCH WHISKIES
36873,JOHNNIE WALKER SELECT CASK,750,37.49,DIAGEO AMERICAS,SCOTCH WHISKIES
226728,J & B RARE SCOTCH,1750,33.75,DIAGEO AMERICAS,SCOTCH WHISKIES
261940,J & B RARE SCOTCH,1000,22.47,DIAGEO AMERICAS,SCOTCH WHISKIES
27812,J & B RARE SCOTCH,750,18.38,DIAGEO AMERICAS,SCOTCH WHISKIES
50329,J & B RARE SCOTCH,375,10.76,DIAGEO AMERICAS,SCOTCH WHISKIES
422948,J & B RARE SCOTCH,50,19.02,DIAGEO AMERICAS,SCOTCH WHISKIES
404936,JOHNNIE WALKER SWING,750,51.74,DIAGEO AMERICAS,SCOTCH WHISKIES
410587,JOHNNIE WALKER DOUBLE BLACK,750,35.24,DIAGEO AMERICAS,SCOTCH WHISKIES
300559,JOHNNIE WALKER PLATINUM,750,89.99,DIAGEO AMERICAS,SCOTCH WHISKIES
366859,JOHNNIE WALKER BLACK,750,31.49,DIAGEO AMERICAS,SCOTCH WHISKIES
446524,JOHNNIE WALKER BLACK,1000,41.61,DIAGEO AMERICAS,SCOTCH WHISKIES
360258,JOHNNIE WALKER BLUE,750,195.0,DIAGEO AMERICAS,SCOTCH WHISKIES
445821,JOHNNIE WALKER GOLD LABEL SCOTCH,750,74.78,DIAGEO AMERICAS,SCOTCH WHISKIES
125862,JOHNNIE WALKER BLACK,1750,52.5,DIAGEO AMERICAS,SCOTCH WHISKIES
107195,JOHNNIE WALKER RED,375,12.0,DIAGEO AMERICAS,SCOTCH WHISKIES
454964,JOHNNIE WALKER RED,750,21.74,DIAGEO AMERICAS,SCOTCH WHISKIES
185179,JOHNNIE WALKER RED LABEL SCOTCH,1000,26.25,DIAGEO AMERICAS,SCOTCH WHISKIES
259078,JOHNNIE WALKER RED,1750,41.24,DIAGEO AMERICAS,SCOTCH WHISKIES
36013,JOHNNIE WALKER GREEN,750,48.74,DIAGEO AMERICAS,SCOTCH WHISKIES
262799,JOHNNIE WALKER GOLD LABEL RESERVE,750,67.49,DIAGEO AMERICAS,SCOTCH WHISKIES
237753,JOHNNIE WALKER GOLD LABEL RESERVE,750,67.49,DIAGEO AMERICAS,SCOTCH WHISKIES
264774,OBAN LITTLE BAY,750,65.24,DIAGEO AMERICAS,SCOTCH WHISKIES
26210,HAIG & HAIG PINCH (DIMPLE) 15 YR,750,31.86,DIAGEO AMERICAS,SCOTCH WHISKIES
189444,TALISKER STORM,750,54.74,DIAGEO AMERICAS,SCOTCH WHISKIES
8426,KING GEORGE IV SCOTCH,1000,10.65,DIAGEO AMERICAS,SCOTCH WHISKIES
245168,JOHNNIE WALKER BLUE GIFT BOTTLE HA,750,202.49,DIAGEO AMERICAS,SCOTCH WHISKIES
193623,BUCHANAN'S MASTER,750,36.75,DIAGEO AMERICAS,SCOTCH WHISKIES
260957,JOHNNIE WALKER RED SCOTCH MINIS,502,19.58,DIAGEO AMERICAS,SCOTCH WHISKIES
9376,BUCHANANS 18YR SPEC RES SCOTCH,750,58.59,DIAGEO AMERICAS,SCOTCH WHISKIES
240004,JOHNNIE WALKER BLACK (DO NOT USE),1750,64.75,DIAGEO AMERICAS,SCOTCH WHISKIES
42260,TALISKER 18YR MALT SCOTCH HA,750,113.9,DIAGEO AMERICAS,SCOTCH WHISKIES
150882,USHER'S GREEN STRIPE SCOTCH,1000,12.74,DIAGEO AMERICAS,SCOTCH WHISKIES
14932,WHITE HORSE 12YR SCOTCH-DNO,750,24.89,DIAGEO AMERICAS,SCOTCH WHISKIES
448601,BUCHANANS SCOTCH,1000,37.49,DIAGEO AMERICAS,SCOTCH WHISKIES
339917,TALISKER 25YR MALT SCOTCH HA,750,153.99,DIAGEO AMERICAS,SCOTCH WHISKIES
427749,JOHNNIE WALKER SWING HA,750,45.0,DIAGEO AMERICAS,SCOTCH WHISKIES
118199,WHITE HORSE SCOTCH,1750,23.07,DIAGEO AMERICAS,SCOTCH WHISKIES
104801,JOHNNIE WALKER BLACK MINIS,50,30.5,DIAGEO AMERICAS,SCOTCH WHISKIES
